1.410145892139001660e+02,1.740360174959538426e+02
4.384179887009950960e+01,1.229152946525984333e+02
9.137962104510432937e+01,2.192055759729749553e+01
1.778104092051102612e+02,3.145325967186854399e+01
2.607404580145522566e+00,6.171395976581084142e+01
2.838075430913589159e+01,5.294762949198139523e+01
2.352347666281569332e+02,1.157804352053173886e+02
8.279603759544201580e+01,8.455509146562282297e+01
1.753397799967342792e+02,9.486527112798934525e+01
7.331905671128401991e+01,1.236889788093443201e+02
5.552304873639315730e+01,7.322356995490081566e+00
9.960067018871230005e+01,2.152278067617607462e+02
2.075347377389456653e+02,9.204313570825905799e+01
2.362032212475346000e+02,2.388692422803852651e+02
1.350405124589006221e+02,3.596905831958252264e+01
8.017604452699295337e+01,1.756804306918910541e+01
2.157091571029468113e+01,5.998810787699951419e+01
4.422232842820442045e+01,4.146211522850773434e-01
1.402337573842171423e+02,1.681648579812672608e+02
4.319227867153196598e+01,2.089390071332335310e+02
2.371367549821784166e+02,4.638349292220983244e+00
1.731127675232289960e+02,5.412480945524902864e+01
1.287253333246407010e+02,1.365380562391162869e+02
7.741649870878732997e+01,5.798270494245777229e+00
1.428704345896457824e+02,1.482659089810227897e+02
4.789955418172572621e+01,3.754694626675783553e+01
7.424339058937823665e+01,1.255273490519620339e+02
2.400980382201923078e+02,2.074828544394819687e+02
5.891028466405748532e+01,3.676998849556167670e+01
3.311318844998123723e+01,2.496159057150287026e+02
